Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Veenendaal;0345;7465;5822;4689;2986;2414;2079;1273;5518;979;592;4202;642;1385;134;107;45;24;19;;14;23;21;8;34;6;14;5;;;
Vianen;0620;2871;1666;1954;1360;908;870;737;390;434;353;356;214;206;52;38;16;21;14;;5;3;7;2;7;1;2;1;;;
Wijk bij Duurstede;0352;4051;1983;2055;1838;1257;1336;813;478;391;420;390;299;68;48;45;21;16;5;;5;7;6;4;5;1;9;0;;;
Woerden;0632;8462;5176;3312;4204;1694;2597;1720;1946;767;821;1238;567;444;127;81;50;46;22;;14;15;13;1;24;4;14;2;;;
Woudenberg;0351;1736;1283;765;569;343;324;296;736;171;136;1612;105;16;23;22;5;4;2;;3;2;3;2;13;2;1;0;;;
Zeist;0355;9818;3753;3753;5963;2154;4496;2211;1472;860;1593;726;606;1001;111;128;44;30;56;;17;21;19;15;12;4;29;1;;;
Amsterdam;0363;70249;13562;31260;86410;29326;90572;38279;6833;8904;27553;687;5707;31512;954;2506;459;384;11424;204;458;239;270;150;;123;;;;;
Aalsmeer;0358;6764;2392;2351;2100;915;1116;828;798;655;505;129;476;115;110;60;28;40;23;11;11;10;5;1;;;;;;;
Amstelveen;0362;13926;4016;4410;8936;2741;5338;3438;1029;1603;1911;191;880;399;157;196;42;38;280;26;22;25;32;13;;;;;;;
Beverwijk;0375;5187;1834;3773;2634;2323;2232;1383;279;1002;846;39;565;796;146;113;37;31;37;41;10;15;25;4;;;;;;;
Blaricum;0376;2733;763;609;917;301;350;336;121;187;214;35;221;47;22;19;23;3;3;4;3;0;0;3;;;;;;;
Bloemendaal;0377;6038;1511;842;2742;462;1268;799;214;237;638;38;255;16;30;34;9;12;6;3;2;3;1;2;;;;;;;
Diemen;0384;3112;932;1826;2267;1148;2313;1295;269;591;678;16;297;352;71;107;21;11;262;16;15;6;15;5;;;;;;;
Gooise Meren;1942;12179;3252;2636;6511;1624;3221;2091;598;896;1405;140;706;389;107;118;32;36;26;20;18;9;11;7;;;;;;;
